Classification,L,HHGCN,HHGCF,HHGCS,HHGCT,HGCN,HGCF,HGCS,HGCT,LGCN,LGCF,LGCS,LGCT,POLYA,POLYT,POLYG,POLYC,POLYAT,POLYGC,RRC,MRRC,RRWCN30,RRWCN50,DRC,MDRC,DRWCN30,DRWCN50,DRN,DRM,DR1SS,DR1L,DR1N,DR1G,DR1S,DR2SS,DR2L,DR2N,DR2G,DR2S,DR3SS,DR3L,DR3N,DR3G,DR3S,DR4SS,DR4L,DR4N,DR4G,DR4S,DR5SS,DR5L,DR5N,DR5G,DR5S,RRN,RRM,RR1SS,RR1L,RR1N,RR1G,RR1S,RR2SS,RR2L,RR2N,RR2G,RR2S,RR3SS,RR3L,RR3N,RR3G,RR3S,RR4SS,RR4L,RR4N,RR4G,RR4S,RR5SS,RR5L,RR5N,RR5G,RR5S
Complex,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0.1784,0,0,10,11,35,11,2,52,74,41,11,2,73,95,44,11,2,10,32,56,11,2,73,95,68,11,2,94,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662,0.1784,0,0,10,11,34,11,2,52,74,40,11,2,73,95,43,11,2,10,32,55,11,2,73,95,67,11,2,94,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6878,0.1854,0,0,10,11,27,11,2,52,74,33,11,2,73,95,36,11,2,10,32,48,11,2,73,95,60,11,2,94,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,1172,0,0,0,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0.163,0.0299,0,0,0.2082,0.0213,0,0,16,13,333,21,2,172,214,428,17,2,252,286,374,15,2,307,337,469,15,2,98,128,471,15,2,149,179,24,15,1,35,2,1102,1172,115,28,2,39,95,428,17,2,251,285,696,17,2,0,18,374,15,2,310,340
Complex,2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1009,0.0262,0,0,0.1969,0.0422,0,0,7,36,1338,83,2,364,530,646,76,3,371,1215,727,33,2,22,88,759,17,2,36,70,367,16,2,16,48,4,26,1,54,2,1954,2062,68,22,2,1884,1928,1492,14,2,395,423,942,14,2,482,510,0,0,0,0,0
Complex,2280,0,0,0,0,6,89,87,60,0,0,0,0,0,0,0,0,0,0,0.0276,0.0105,0,0,0.1662,0.0202,0,0,20,12,1303,46,2,320,412,509,15,2,1734,1764,415,14,2,0,17,377,13,2,39,65,26,11,2,98,120,4,17,1,23,2,2234,2280,9,16,2,483,515,9,15,2,2234,2264,9,15,2,485,515,0,0,0,0,0
Complex,9833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298,0.0039,0,0,0.2086,0.0105,0,0,91,13,1388,103,2,2217,2423,1390,101,3,1220,3742,356,35,2,4200,4270,357,35,2,6496,6566,357,34,4,1881,6565,14,19,2675,36,2,1881,1953,357,35,2,6495,6565,6887,35,2,0,36,6886,19,2,0,38,357,17,2,0,34
Complex,8822,0,0,0,0,0,0,0,0,1,54,0,0,0,0,0,0,0,0,0.0204,0.002,0,0,0.1885,0.0119,0,0,73,12,1391,99,2,2510,2708,355,39,2,5537,5615,357,34,3,2683,5610,6529,19,2,0,31,1629,16,2,2530,2562,7,15,3215,18,2,0,36,357,17,2,0,34,3216,17,2,0,34,5933,17,2,0,34,7628,14,2,100,128
Complex,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0.0083,7,0,0.418,0.1599,8,0,14,28,1186,225,2,51,501,1141,31,2,0,46,1414,31,2,0,46,38,11,2,1003,1025,54,11,2,472,494,1,14,300,14,2,652,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex,5785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0083,0.0021,0,0,0.3324,0.0439,0,0,87,15,5484,151,2,0,302,1,127,2,0,254,127,101,3,50,5659,1,100,4,27,5785,621,15,2,4395,4425,2,12,3183,12,2,1954,1978,889,12,2,4167,4191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
